City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
538,Neverkino,RU,52.7854,46.7417,62.62,94,100,2.64,light rain
539,Nagorsk,RU,59.3172,50.8078,67.78,78,59,4.76,broken clouds
540,Mandalgovi,MN,45.7625,106.2708,63.18,53,100,6.15,overcast clouds
541,Male,MV,4.1748,73.5089,82.35,83,75,6.91,broken clouds
542,Westport,US,41.1415,-73.3579,97.63,45,0,12.66,clear sky
543,Prince Rupert,CA,54.3161,-130.3201,59.09,96,100,26.46,moderate rain
544,Tame,CO,6.461,-71.73,85.42,60,28,3.09,scattered clouds
545,Tefe,BR,-3.3542,-64.7114,91.51,62,40,5.75,scattered clouds
546,Itaituba,BR,-4.2761,-55.9836,95.16,43,20,9.22,few clouds
547,Iquique,CL,-20.2208,-70.1431,62.64,72,0,8.01,clear sky
548,Cartagena Del Chaira,CO,1.3349,-74.8429,83.89,60,98,5.32,overcast clouds
549,Cantaura,VE,9.3057,-64.3584,91.56,36,83,6.51,broken clouds
550,Joao Camara,BR,-5.5375,-35.8197,76.19,75,98,15.95,overcast clouds
551,Trat,TH,12.5,102.5,79.92,92,100,1.41,overcast clouds
552,Esil,KZ,51.9556,66.4042,70.03,49,23,5.06,few clouds
553,Pimentel,PE,-6.8367,-79.9342,71.89,64,0,14.97,clear sky
554,Bandarbeyla,SO,9.4942,50.8122,76.44,83,100,31.18,overcast clouds
555,Liverpool,GB,53.4106,-2.9779,68.61,78,75,19.57,broken clouds
556,Mahanoro,MG,-19.9,48.8,64.72,92,13,3.58,few clouds
557,Batemans Bay,AU,-35.7167,150.1833,48.09,94,52,3.47,broken clouds
558,Banda Aceh,ID,5.5577,95.3222,76.96,88,100,6.6,overcast clouds
559,Lodja,CD,-3.4833,23.4333,75.27,69,43,1.74,scattered clouds
560,San Antonio,US,29.4241,-98.4936,102.06,38,75,12.66,broken clouds
561,Najran,SA,17.4924,44.1277,72.25,61,100,13.85,heavy intensity rain
562,Bobo Dioulasso,BF,11.1771,-4.2979,77.45,88,20,4.61,few clouds
563,Broome,US,42.2506,-75.833,92.55,51,0,12.66,clear sky
564,Qasigiannguit,GL,68.8193,-51.1922,40.23,89,100,4.27,overcast clouds
565,Sovik,NO,65.9333,12.4667,61.32,74,0,7.0,clear sky
566,Sogne,NO,58.0833,7.8167,62.46,95,100,5.99,overcast clouds
567,Sibolga,ID,1.7427,98.7792,75.63,90,91,2.55,light rain
568,Amuntai,ID,-2.4177,115.2494,72.18,92,8,1.05,clear sky
569,Mocuba,MZ,-16.8392,36.9856,63.34,92,1,2.28,clear sky
570,Plouzane,FR,48.3833,-4.6167,66.52,88,100,12.66,overcast clouds
571,Coquimbo,CL,-29.9533,-71.3436,56.93,71,75,5.75,broken clouds
572,Betioky,MG,-23.7167,44.3833,62.85,92,0,3.44,clear sky
573,Kolyvan,RU,55.3053,82.7391,53.22,91,100,8.03,overcast clouds
574,Tokur,RU,53.1333,132.9,56.26,92,1,3.24,clear sky
575,Huarmey,PE,-10.0681,-78.1522,69.49,70,5,12.57,clear sky
